"Sheet Type","Opus ID","Client Name",Status,"Billing Modality KPI","Service Type Billing","License Billing","BTRC Letter","Security Coverage","Payment Plan","Other Upstream","S&M KAM","Team Name","Collection KAM","Collection Supervisor","NTTN Billing KAM","IIG/ITC Billing KAM","NTTN Billing Commencement Date","IIG/ITC Billing Commencement Date","Agreement Status","BTRC License Discontinuation Date",Legal,"Service Discontinuation Date"
Live,012317098,"Gomti Network",Active,Pre-paid,NTTN,District,,1,,No,"Md. Taher Bin Hossain","Team Israfil",Shareef,"CS Tarikul",Nayeemur,N/A,2023-10-25,,Done,2027-04-25,No,
Live,012209349,"Goshairhat Online Network",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,Ashak-A-Mahbub,"Team Abid",Naznin,"CS Shehave",Ejaz,Tawhid,2022-07-01,2022-07-01,Done,2027-05-28,No,
Live,012303098,"Gram Bangla Systems Limited",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Shohag,"CS Mithun",Ejaz,Monira,2013-08-17,2024-09-11,Done,2025-06-20,No,
Live,011903085,"Grameen Cybernet Ltd.",Active,Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Khairul,"CS Tarikul",Nayeemur,Aftab,2010-12-15,2013-07-01,Done,2021-11-04,No,
Live,012317066,"Grameen Link Four",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Fahim Ahmed","Team Ryhan",Anik,"CS Tarikul",Waly,Monira,2023-09-04,2023-09-04,Done,2027-07-11,No,
Live,012418227,"Grand Internet Technology",Active,Pre-paid,"NTTN, IIG","Category - A",,1,,No,"Md.Mominul Islam","Team Fahad",Mehedi,"CS Azim",Waly,Monira,2024-09-10,2024-09-10,Done,2026-12-21,No,
Live,012209476,"Green Net City",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md.Noor Hossain","Team Israfil",Hasnat,"CS Azim",Nayeemur,Mahbub,,2025-10-11,,,No,
Live,012518352,"Green Network",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"SK Sanaullah","Team Ryhan",Shehave,"CS Shehave",Nayeemur,Monira,,2025-10-20,,,No,
Live,012104460,"Green Surma Communications",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"Jibeshwar Purakayastha","Team Talha",Sarwar,"CS Azim",Waly,Aftab,2018-12-01,2018-12-01,Done,2023-06-01,No,
Live,012212735,"Gumati Online",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,0.56168677478081575,,Yes,"Md.Israfil Khan","Team Israfil",Hasnat,"CS Azim",Ejaz,Aftab,2025-03-07,2025-03-06,Done,2027-07-26,No,
Live,012304543,"Habiganj Net Communication",Active,Pre-paid,"NTTN, IIG",Divisional,3,0.87714168762060696,,No,"Jibeshwar Purakayastha","Team Talha",Ehsanul,"CS Mithun",Ejaz,Monira,2019-09-08,2023-12-01,Done,2024-02-05,No,
Live,012312964,"Haider Khandakar Network",Active,Pre-paid,IIG,Upazila/Thana,,1,,Yes,"Rubaet Bin Hasan","Team Jahirul",Mehedi,"CS Azim",Waly,Mahbub,,2025-09-01,Done,2026-10-27,No,
Live,012204571,"Hamid Electronics and Automobiles",Active,Pre-paid,NTTN,Divisional,,1,,Yes,"Mushfek Arefin","Team Mosabbir",Shareef,"CS Tarikul",Waly,N/A,2025-02-02,,Done,2023-02-03,No,
Live,012209551,"Hazi Online",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Maksudul Karim","Team Maksudul",Naznin,"CS Shehave",Nayeemur,Mahbub,,,,,No,
Live,012317100,"Hello Tech Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"MD. Abu  Sayeed","Team Mitul",Mithun,"CS Mithun",Waly,Monira,2023-11-02,2023-11-16,Done,2023-02-14,No,
Live,012312989,"Hello Vision Dot Net",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Asif,"CS Shehave",Waly,Mahbub,2023-06-14,2023-06-01,Done,2027-05-30,No,
Live,012203436,"Hi-Speed Broadband Network",Active,Post-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Mithun,"CS Mithun",Nayeemur,Mahbub,2018-08-01,2018-08-02,Done,2027-03-19,No,
Live,012104827,"Hi-Tec Enterprise",Active,Pre-paid,"NTTN, IIG","Category - A",,1,,Yes,"Asif Ahamed Dipu","Team Ryhan",Anik,"CS Tarikul",Waly,Mahbub,2022-06-01,2021-11-03,Done,2024-08-04,No,
Live,012104673,"HK Net",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Mehedi,"CS Azim",Waly,Aftab,2024-11-28,2024-11-28,Done,2024-07-31,No,
Live,012204548,"HK Online",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md.Mominul Islam","Team Fahad",Shohag,"CS Mithun",Waly,Mahbub,2023-08-01,2022-04-01,Done,2024-02-03,No,
Live,012103353,"HM Communication",Active,Post-paid,"NTTN, IIG",Divisional,1st,1,,No,"SK Sanaullah","Team Ryhan",Ehsanul,"CS Mithun",Ejaz,Aftab,2018-06-01,2021-12-02,Done,2023-01-20,No,
Live,012003059,"HRC Technologies Ltd.",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Umaya Afrin Priya","Team Mitul",Asif,"CS Shehave",Ejaz,Aftab,2010-12-15,2021-12-31,Done,2023-01-30,No,
Live,012204843,"I Nox Net Communication",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Jannatul Nayem","Team Mitul",Asif,"CS Shehave",,Mahbub,2023-11-02,2021-11-16,Done,2026-11-28,No,
Live,012103046,"ICC Communication Ltd",Active,Post-paid,"NTTN, NIX",Nationwide,Both,0,,Yes,"Mosabbir Hussain","Team Mosabbir",Naznin,"CS Shehave",Tanim,N/A,2023-11-09,,Expired,2023-11-14,No,
Live,012203187,"Icom Bangladesh Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,0.86314681920974712,,Yes,"Jahirul Islam","Team Jahirul",Tarikul,"CS Tarikul",Tanim,Aftab,2015-06-18,2016-05-22,Expired,2028-02-05,No,
Live,012103101,"ICON Infotech Limited",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Md. Mustafijur Rahman Shishir","Team Mitul",Ehsanul,"CS Mithun",,Mahbub,2011-12-15,2019-06-13,Done,2025-07-12,No,
Live,012104613,"Idea Tec Ltd.",Active,Pre-paid,NTTN,Nationwide,,1,,Yes,"Md. Abid Hasan","Team Abid",Shareef,"CS Tarikul",Waly,N/A,,,,,No,
Live,012004620,"Ideal Communications Network",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md. Sohel Rana","Team Jahirul",Shareef,"CS Tarikul",Nayeemur,Mahbub,2021-10-02,2021-10-01,Done,2023-11-24,No,
Live,042003217,"Imam Network Limited",Active,Post-paid,NTTN,ICX,,0,,No,"Md.Noor Hossain","Team Israfil",Mehedi,"CS Azim",Tanim,N/A,2012-09-28,,Expired,2027-04-11,No,
Live,012212749,"Impress Communications",Active,Post-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Mahin Alam","Team Abid",Asif,"CS Shehave",Waly,Mahbub,2023-04-02,2023-04-02,Done,2027-05-30,No,
Live,012518319,"Inaaya IT Solutions",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md. Sohel Rana","Team Jahirul",Khairul,"CS Tarikul",Ejaz,Monira,2025-03-11,2025-03-11,Done,2027-05-28,No,
Live,012204506,"Info Internet Service",Active,Pre-paid,NTTN,Divisional,,1,,Yes,"Md.Israfil Khan","Team Israfil",Ehsanul,"CS Mithun",Tanim,N/A,2024-07-09,,Done,2023-06-30,No,
Live,012103388,"Info Link Ltd.",Active,Pre-paid,NTTN,Nationwide,1st,1,,Yes,"Md. Abid Hasan","Team Abid",Anik,"CS Tarikul",Ejaz,N/A,2015-01-28,,Done,2028-05-07,No,
Live,012303174,"Infobase Limited",Active,Pre+Post-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Md.Noor Hossain","Team Israfil",Tarikul,"CS Tarikul",Tanim,Aftab,2015-02-16,2013-03-20,Done,2026-07-02,No,
Live,012303336,"Infobd24 Systems",Active,Pre+Post-paid,"NTTN, IIG",Divisional,1st,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Naznin,"CS Shehave",Ejaz,Aftab,2017-12-25,2017-12-25,Done,2023-04-09,No,
Live,012003260,"Infocom Limited",Active,Post-paid,"NTTN, IIG",Nationwide,Both,0.73060893190630483,,Yes,"Mollick Tanzim Akhtar","Team Mosabbir",Sarwar,"CS Azim",Tanim,Aftab,2017-04-01,2026-03-02,Done,2024-04-29,No,
Live,012203109,"Information Services Network Ltd.",Active,Post-paid,NTTN,Nationwide,1st,1,,Yes,"Md.Noor Hossain","Team Israfil",Sarwar,"CS Azim",Ejaz,N/A,2010-12-15,,Done,2023-02-18,No,
Live,012210671,"Infotech Pace Link",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"K.M. Mazharul Islam","Team Mosabbir",Shohag,"CS Mithun",Waly,Monira,2023-12-02,2023-12-01,Done,2026-11-30,No,
Live,012203140,"Innovative Online Ltd.",Active,Pre-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Partha Pratim Sarkar","Team Jahirul",Shareef,"CS Tarikul",Tanim,Mahbub,2017-03-22,2021-12-02,Done,2026-11-22,No,
Live,012208238,"Inspired Broadband",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Wahiduzzaman Shanto","Team Ryhan",Shohag,"CS Mithun",Waly,Mahbub,2022-04-29,2022-05-15,Done,2026-02-17,No,
Live,012204605,"Intech Limited",Active,Pre-paid,NTTN,Nationwide,,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Shareef,"CS Tarikul",Nayeemur,N/A,,,,,No,
Live,042003261,"Integrated Services Ltd.",Active,Post-paid,NTTN,ICX,,1,,No,"Tabassom Tamanna Haque","Team Abid",Shareef,"CS Tarikul",Tanim,N/A,2012-10-09,,Done,2027-04-12,No,
Live,012103262,"INTERCLOUD LIMITED",Active,Post-paid,NTTN,Nationwide,,1,,Yes,"Partha Pratim Sarkar","Team Jahirul",Sarwar,"CS Azim",Tanim,N/A,2013-01-13,,Done,2028-03-10,No,
Live,012209495,"Internet World BD",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,Ashak-A-Mahbub,"Team Abid",Ehsanul,"CS Mithun",Ejaz,Tawhid,2023-06-01,2023-06-01,Done,2024-11-19,No,
Live,012203448,"Internet@Home Limited",Active,Post-paid,"NTTN, IIG",Divisional,Both,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Naznin,"CS Shehave",Nayeemur,Mahbub,2018-10-01,2018-09-27,Done,2023-01-16,No,
Live,012206904,Interstellar,Active,Pre-paid,IIG,"Category - C",,1,,Yes,"Md. Fazle Rabbi","Team Sujon",Mehedi,"CS Azim",N/A,Mahbub,,2021-12-17,Done,2023-02-08,No,
Live,112312974,"Intraglobe Communications Limited",Active,Post-paid,NTTN,IIG,,1,Yes,Yes,"Jahirul Islam","Team Jahirul",Ehsanul,"CS Mithun",Tanim,N/A,2023-03-13,,Done,2027-04-12,No,
Live,012003278,"Intrepid Broadband Communication Co. Ltd",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"Abu Talha Shawon","Team Talha",Khairul,"CS Tarikul",Tanim,Tawhid,2015-09-17,2018-08-31,Done,2023-07-31,No,
Live,012104587,"Invention Technologies Limited",Active,Pre-paid,NTTN,Divisional,,1,,Yes,"Asif Ahamed Dipu","Team Ryhan",Sarwar,"CS Azim",Nayeemur,N/A,2023-07-25,,Done,2024-11-20,No,
Live,012203175,"IP Communications Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,0.84446341154331717,,Yes,"Md. Abid Hasan","Team Abid",Ehsanul,"CS Mithun",Ejaz,Monira,2014-05-18,2024-05-24,Done,2025-07-12,No,
Live,012204679,"IP Internet",Active,Post-paid,"NTTN, IIG","Category - A",,1,,No,"Md. Shahinur Islam Saju","Team Mosabbir",Shohag,"CS Mithun",Waly,Monira,2021-10-02,2021-10-02,Done,2023-07-31,No,
Live,012104852,IQ-Tel,Active,Pre-paid,IIG,Upazila/Thana,,1,,Yes,"Md. Sakib Aziz","Team Sakib",Mehedi,"CS Azim",N/A,Mahbub,,2025-09-10,0,2028-04-11,No,
Live,012104712,"IR Technology",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Khairul,"CS Tarikul",Nayeemur,Monira,,2026-02-27,,,No,
Live,012004559,"IT Base",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Mollick Tanzim Akhtar","Team Mosabbir",Sarwar,"CS Azim",Ejaz,Monira,2023-11-30,2024-02-01,Done,2024-01-04,No,
Live,012518333,"IT Link",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md. Neamul Islam","Team Abid",Ehsanul,"CS Mithun",Nayeemur,Mahbub,,2026-04-14,,,No,
Live,012212845,"Jaan Computer",Active,Pre-paid,IIG,"Category - C",,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Asif,"CS Shehave",N/A,Mahbub,,2022-12-19,Done,2023-03-31,No,
Live,012204685,"Janany Broadband Internet",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,"SK Sanaullah","Team Ryhan",Hasan,"CS Shehave",Waly,Monira,2021-05-30,2021-05-30,Done,2024-03-17,No,
Live,012209340,"Jannat Mir Internet Service",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Hasan,"CS Shehave",,Mahbub,2024-07-01,2024-06-30,Done,2024-07-13,No,
Live,012106889,"JBH Net",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Naznin,"CS Shehave",Nayeemur,Aftab,,2026-04-12,,,No,
Live,012418208,"Jessore IT",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Hasnat,"CS Azim",Ejaz,Monira,,2024-06-07,Done,2023-10-22,No,
Live,012003405,"Jhenaidah Broadband & Cyber Point",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Shareef,"CS Tarikul",Tanim,Mahbub,2021-10-01,2021-10-01,Done,2023-01-31,No,
Live,012204565,"Jhongkar IT",Active,Pre-paid,NTTN,Divisional,,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Hasan,"CS Shehave",Ejaz,N/A,2019-12-07,,Done,2024-08-07,No,
Live,012203380,"Jony Cable Network",Active,Pre-paid,IIG,Divisional,,1,,No,"Md. Fahim Ahmed","Team Ryhan",Mehedi,"CS Azim",N/A,Tawhid,2022-07-01,2022-07-01,Done,2023-01-14,No,
Live,012518356,"Junaira Network",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Shehave,"CS Shehave",Nayeemur,Monira,,2025-12-30,,,No,
Live,012618366,"K.M. Network",Active,Pre-paid,IIG,Upazila/Thana,,1,,No,"Md. Mahin Alam","Team Abid",Naznin,"CS Shehave",N/A,Monira,,2026-04-01,,,No,
Live,012203389,"Ka, Kha Computer",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,Ashak-A-Mahbub,"Team Abid",Ehsanul,"CS Mithun",Nayeemur,Tawhid,2018-08-02,2018-07-31,Done,2023-01-17,No,
Live,012208228,"Kabir Hossain Broadband Network",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Partha Pratim Sarkar","Team Jahirul",Khairul,"CS Tarikul",Waly,Mahbub,2023-01-17,2022-04-02,Done,2027-01-12,No,
Live,012518313,"Kalukhali Cable Network",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,Ashak-A-Mahbub,"Team Abid",Asif,"CS Shehave",Waly,Tawhid,,2025-02-27,Done,2028-11-10,No,
Live,012107173,"Kamarkhali Broadband",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,Ashak-A-Mahbub,"Team Abid",Asif,"CS Shehave",Ejaz,Tawhid,2023-01-31,2023-01-31,Done,2026-12-20,No,
Live,012314010,"Kapasia Dot Net",Active,Pre-paid,NTTN,"Thana - ISP",,1,,No,"Syed Shihab Rahman","Team Abid",Asif,"CS Shehave",Ejaz,N/A,2023-06-09,,Done,2028-03-21,No,
Live,012207064,"Kazi Networks",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md.Noor Hossain","Team Israfil",Naznin,"CS Shehave",Ejaz,Tawhid,2023-06-30,2023-02-10,Done,2023-01-30,No,
Live,011903372,"KBZ Online",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md.Mominul Islam","Team Fahad",Mithun,"CS Mithun",Waly,Monira,2024-12-22,2024-12-22,Done,2023-02-17,No,
Live,012618375,"Khulna Broadband Services",Active,Pre-paid,"IIG, NTTN","Thana - ISP",,0.99103116793023138,,Yes,"SK Sanaullah","Team Ryhan",Shehave,"CS Shehave",Ejaz,Tawhid,,2026-04-23,Done,2023-01-30,No,
Live,012107184,"Khulna Online",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"SK Sanaullah","Team Ryhan",Hasan,"CS Shehave",Tanim,Tawhid,2022-01-02,2022-09-16,Done,2026-11-28,No,
Live,012104589,"Kloud Technologies Limited",Active,Pre-paid,"NTTN, IIG",Nationwide,,0.79277001765706456,,Yes,"Md.Israfil Khan","Team Israfil",Khairul,"CS Tarikul",Ejaz,Monira,,2025-10-22,Done,2024-10-13,No,
Live,012518341,"Kotchandpur Broadband Distribution",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md. Fahim Ahmed","Team Ryhan",Azim,"CS Azim",Nayeemur,Mahbub,2021-11-01,2021-11-01,WIP,2029-01-01,No,
Live,012104796,"KP Online",Active,Pre-paid,"NTTN, IIG","Category - B",,1,,No,"SK Sanaullah","Team Ryhan",Khairul,"CS Tarikul",Waly,Tawhid,2021-11-01,2021-11-01,Done,2024-01-16,No,
Live,012312969,"KR Online",Active,Pre-paid,NTTN,Upazila/Thana,,1,,Yes,"Md. Taher Bin Hossain","Team Israfil",Azim,"CS Azim",Nayeemur,N/A,,,0,,No,
Live,012103168,"KS Network Ltd.",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,1st,1,Yes,Yes,"Jahirul Islam","Team Jahirul",Shehave,"CS Shehave",Ejaz,Aftab,2014-04-01,2016-03-20,Done,2026-02-22,No,
Live,012206885,"KT Computer & Network",Active,Pre-Paid,"NTTN, IIG",District,,0.96382789603509766,,No,"S.M. Tanvir Rahman","Team Jahirul",Ehsanul,"CS Mithun",Ejaz,Mahbub,2021-12-01,2021-12-01,Done,2026-10-26,No,
Live,012209491,"Kurigram I.S.P",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"Md. Shahinur Islam Saju","Team Mosabbir",Shareef,"CS Tarikul",Waly,Monira,2023-12-02,2023-12-02,Done,2027-06-21,No,
Live,012204500,"Kurigram Online",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Shahinur Islam Saju","Team Mosabbir",Shohag,"CS Mithun",Tanim,Monira,,2025-01-16,Done,2023-12-12,No,
Live,012104612,"L. R. International",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"SK Sanaullah","Team Ryhan",Shohag,"CS Mithun",Waly,Tawhid,,2025-03-18,Done,2024-09-29,No,
Live,012313000,"Lakshmipur Communication Network",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Md. Taher Bin Hossain","Team Israfil",Shohag,"CS Mithun",Ejaz,Monira,2024-03-01,2024-03-04,Done,2028-03-21,No,
Live,012003374,"Lakshmipur Online",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md.Israfil Khan","Team Israfil",Tarikul,"CS Tarikul",Ejaz,Monira,2018-09-01,2023-09-01,Done,2023-02-18,No,
Live,012209408,"Lead Technology",Active,Pre-paid,NTTN,Upazila/Thana,,1,,No,"Md. Mahin Alam","Team Abid",Ehsanul,"CS Mithun",Waly,N/A,,,Done,2028-02-17,No,
Live,012204554,"Lee Communication",Active,Pre-paid,"NTTN, IIG",Divisional,1st,1,,No,"Md. Shahinur Islam Saju","Team Mosabbir",Mehedi,"CS Azim",Ejaz,Tawhid,2019-11-05,2022-10-31,Done,2024-09-14,No,
Live,011903158,"Level3 Carrier Limited",Active,Post-paid,NTTN,IIG,,1,,Yes,"MD. Abu  Sayeed","Team Mitul",Sarwar,"CS Azim",Tanim,N/A,2017-04-16,,Done,2027-04-11,No,
Live,012106909,"Link Communication",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"Jannatul Nayem","Team Mitul",Anik,"CS Tarikul",Tanim,Mahbub,2022-04-06,2022-02-12,Done,2026-12-19,No,
Live,012206982,"Link Tech IT",Active,Pre-paid,NTTN,District,,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Khairul,"CS Tarikul",Waly,N/A,,,Done,2026-10-27,No,
Live,012207007,"Link Technologies",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md.Israfil Khan","Team Israfil",Hasan,"CS Shehave",Waly,Mahbub,2023-04-01,2022-09-01,Done,2026-02-16,No,
Live,012203089,"Link-3 Technologies Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"MD. Abu  Sayeed","Team Mitul",Azim,"CS Azim",Palash,Aftab,2010-12-01,2021-10-06,Done,2023-09-11,No,
Live,012518320,"Link-4 Communication",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md. Mezbah Uddin Chy","Team Sakib",Shehave,"CS Shehave",Nayeemur,Tawhid,,2025-11-30,,,No,
Live,012518336,"LiveneT. Internet Service Provider",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Anik,"CS Tarikul",Ejaz,Monira,,2025-07-31,Done,2027-05-28,No,
Live,012618381,"Look Media Network",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Jannatul Nayem","Team Mitul",Sarwar,"CS Azim",Nayeemur,Mahbub,2022-06-01,2022-06-01,Done,2027-04-24,No,
Live,012618371,"Love Bird Communication",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md. Neamul Islam","Team Abid",Asif,"CS Shehave",Nayeemur,Monira,,2026-04-01,,,No,
Live,062004466,"LR Telecom Limited",Active,Post-paid,"NTTN, ITC",IGW,,1,,Yes,"Mosabbir Hussain","Team Mosabbir",Ehsanul,"CS Mithun",Waly,Jubayar,2019-01-08,2018-12-27,Done,2033-10-30,No,
Live,012209302,"M Amin Network",Active,Post-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Ehsanul,"CS Mithun",Waly,Monira,2024-02-28,2024-02-28,Done,2027-04-10,No,
Live,012618365,"M Meherab Internet",Active,Pre-paid,IIG,Upazila/Thana,,1,,No,"Md. Mahin Alam","Team Abid",Sarwar,"CS Azim",N/A,Monira,,2026-03-31,,,No,
Live,042003176,"M&H Telecom Ltd.",Active,Post-paid,NTTN,ICX,,0.87568721875549838,,No,"Umaya Afrin Priya","Team Mitul",Shareef,"CS Tarikul",Tanim,N/A,2012-02-15,,Done,2027-04-11,No,
Live,012204625,"M. H. Broadband",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,Ashak-A-Mahbub,"Team Abid",Ehsanul,"CS Mithun",Tanim,Tawhid,2021-01-19,2021-01-18,Done,2025-01-18,No,
Live,012208278,"M.E.B. Technology",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Toukir Azam Chowdhury","Team Sujon",Ehsanul,"CS Mithun",Waly,Aftab,,2024-12-26,Done,2027-03-07,No,
Live,012207082,"M.K Network",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,"Md. Mahin Alam","Team Abid",Sarwar,"CS Azim",Ejaz,Mahbub,2023-02-02,2023-02-02,Done,2024-03-17,No,
Live,042203248,"M.M Communications Ltd.",Active,Post-paid,NTTN,ICX,,1,,No,"Md. Fazle Rabbi","Team Sujon",Shohag,"CS Mithun",Tanim,N/A,2013-04-15,,Done,2027-04-11,No,
Live,012212833,"M.S. Adiba Online",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Umaya Afrin Priya","Team Mitul",Asif,"CS Shehave",Waly,Mahbub,2023-02-01,2023-01-31,Done,2026-10-30,No,
Live,012104699,"M/s Asian Network",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Md. Mahin Alam","Team Abid",Shohag,"CS Mithun",Ejaz,Monira,2023-11-20,2023-11-15,Done,2027-05-09,No,
Live,011903148,"M/S Broadlink International",Active,Pre-paid,IIG,Divisional,,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Hasan,"CS Shehave",N/A,Mahbub,,2025-09-19,Done,2014-08-15,No,
Live,012003293,"M/S Computer Mate",Active,Pre+Post-paid,"NTTN, IIG",Divisional,Both,0,,No,"Md. Shamrat Shahriar","Team Ryhan",Hasnat,"CS Azim",Ejaz,Aftab,2017-04-01,2016-06-22,Done,2021-04-24,No,
Live,012304459,"M/s Dynamic Analojix",Active,Pre-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Jannatul Nayem","Team Mitul",Shareef,"CS Tarikul",Nayeemur,Tawhid,,2025-05-18,Done,2024-03-31,No,
Live,011904495,"M/s Easy Net",Active,Pre-paid,NTTN,Divisional,,0,,Yes,"Md. Sakib Aziz","Team Sakib",Mehedi,"CS Azim",Nayeemur,N/A,,,,,No,
Live,012203359,"M/s Global Communication",Active,Post-paid,"NTTN, IIG",Divisional,1st,0.90185811761989731,,Yes,Ashak-A-Mahbub,"Team Abid",Sarwar,"CS Azim",Ejaz,Aftab,2018-04-05,2018-03-30,Done,2023-01-20,No,
Live,012004484,"M/S I Communication",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Neamul Islam","Team Abid",Ehsanul,"CS Mithun",Nayeemur,Monira,,2026-03-16,,,No,
Live,012518317,"M/s Jasam Traders",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Tasnim Rahman Nafis","Team Sakib",Sarwar,"CS Azim",Nayeemur,Mahbub,2025-03-26,2025-07-04,Done,2026-11-08,No,
Live,012104701,"M/s Mahin Online",Active,Pre-paid,"NTTN, IIG","Category - A",,1,,No,"Md. Abid Hasan","Team Abid",Sarwar,"CS Azim",Ejaz,Monira,2021-11-14,2021-11-14,Done,2022-02-26,No,
Live,012518294,"M/S Md. Woahiduzzaman",Active,Pre-paid,NTTN,District,,1,,Yes,"SK Sanaullah","Team Ryhan",Shehave,"CS Shehave",Nayeemur,N/a,,,,,No,
Live,012003229,"M/S Net Express Online",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"Mollick Tanzim Akhtar","Team Mosabbir",Tarikul,"CS Tarikul",Waly,Aftab,2016-10-10,2014-09-22,Done,2026-03-01,No,
Live,012204687,"M/s Net Zone",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Shohag,"CS Mithun",Nayeemur,Mahbub,2021-06-01,2021-06-01,Done,2024-01-16,No,
